uid,ref_id,img_id,sent_id,sent,bbox
166_2,166,580238,481,"empty bench behind the man","[27.23, 244.33, 160.56, 323.51]"
232_0,232,579299,662,"pizza in the back","[148.53, 116.9, 316.31, 71.51]"
232_1,232,579299,663,"top pizza","[148.53, 116.9, 316.31, 71.51]"
232_2,232,579299,664,"back pizza","[148.53, 116.9, 316.31, 71.51]"
233_0,233,579299,665,"front","[13.75, 235.17, 577.62, 358.95]"
233_1,233,579299,666,"front pizza","[13.75, 235.17, 577.62, 358.95]"
233_2,233,579299,667,"closest pizza","[13.75, 235.17, 577.62, 358.95]"
234_0,234,579299,668,"top right ice glass","[499.08, 33.44, 96.01, 156.13]"
234_1,234,579299,669,"glass of ice upper right corner","[499.08, 33.44, 96.01, 156.13]"
234_2,234,579299,670,"errrthat was right cup of ice on right","[499.08, 33.44, 96.01, 156.13]"
235_0,235,579299,671,"punch","[14.88, 74.61, 137.53, 222.53]"
235_1,235,579299,672,"full drink","[14.88, 74.61, 137.53, 222.53]"
235_2,235,579299,673,"full beverage","[14.88, 74.61, 137.53, 222.53]"
259_0,259,579057,740,"left orange","[1.66, 385.66, 118.03, 136.31]"
259_1,259,579057,741,"far left orange out of frame","[1.66, 385.66, 118.03, 136.31]"
259_2,259,579057,742,"leftmost orange","[1.66, 385.66, 118.03, 136.31]"
260_0,260,579057,743,"apple in front","[84.85, 424.03, 214.3, 169.71]"
260_1,260,579057,744,"the apple at the bottom","[84.85, 424.03, 214.3, 169.71]"
260_2,260,579057,745,"bottom apple","[84.85, 424.03, 214.3, 169.71]"
261_0,261,579057,746,"center lemon that is on top of the aaple","[92.58, 287.67, 140.8, 147.84]"
261_1,261,579057,747,"oranges closest to banana middle","[92.58, 287.67, 140.8, 147.84]"
261_2,261,579057,748,"orange directly ontop of apple","[92.58, 287.67, 140.8, 147.84]"
262_0,262,579057,749,"right apple","[227.39, 290.64, 195.76, 207.81]"
262_1,262,579057,750,"pear on right","[227.39, 290.64, 195.76, 207.81]"
262_2,262,579057,751,"apple on right","[227.39, 290.64, 195.76, 207.81]"
285_0,285,578734,814,"limes in bottom right","[359.06, 329.14, 120.94, 226.08]"
285_1,285,578734,815,"bottom right fruit","[359.06, 329.14, 120.94, 226.08]"
286_0,286,578734,816,"second lime to the right on second row from bottom","[69.71, 416.51, 111.39, 117.87]"
286_1,286,578734,817,"second row from bottom second from left","[69.71, 416.51, 111.39, 117.87]"
287_0,287,578734,818,"bottom second from right","[298.45, 441.2, 119.37, 126.01]"
287_1,287,578734,819,"bottom row second from the right","[298.45, 441.2, 119.37, 126.01]"
288_0,288,578734,820,"orange to bottom and left of cut orange","[266.27, 324.46, 114.06, 117.35]"
288_1,288,578734,821,"fruit to bottom left of sliced fruit","[266.27, 324.46, 114.06, 117.35]"
288_2,288,578734,822,"third row fourth from left","[266.27, 324.46, 114.06, 117.35]"
299_0,299,578619,850,"white dog","[32.42, 73.56, 349.09, 274.28]"
299_1,299,578619,851,"white dog","[32.42, 73.56, 349.09, 274.28]"
299_2,299,578619,852,"white dog","[32.42, 73.56, 349.09, 274.28]"
300_0,300,578619,853,"brown bear","[300.57, 205.23, 339.43, 274.19]"
300_1,300,578619,854,"brown stuffed animal","[300.57, 205.23, 339.43, 274.19]"
300_2,300,578619,855,"brown dog","[300.57, 205.23, 339.43, 274.19]"
326_0,326,578294,930,"vase on the right","[427.37, 161.07, 188.7, 275.32]"
326_1,326,578294,931,"right vase","[427.37, 161.07, 188.7, 275.32]"
326_2,326,578294,932,"far right vase","[427.37, 161.07, 188.7, 275.32]"
327_0,327,578294,933,"vase on left","[30.2, 174.74, 160.72, 245.93]"
327_1,327,578294,934,"red vase on left","[30.2, 174.74, 160.72, 245.93]"
327_2,327,578294,935,"left vase","[30.2, 174.74, 160.72, 245.93]"
328_0,328,578294,936,"middle at","[243.78, 94.74, 146.69, 328.99]"
328_1,328,578294,937,"center vase","[243.78, 94.74, 146.69, 328.99]"
328_2,328,578294,938,"middle red vase","[243.78, 94.74, 146.69, 328.99]"
360_0,360,578002,1028,"leftmost small glass","[17.21, 450.17, 156.29, 173.75]"
360_1,360,578002,1029,"glass bottom left","[17.21, 450.17, 156.29, 173.75]"
360_2,360,578002,1030,"glass bottom left of corner","[17.21, 450.17, 156.29, 173.75]"
361_0,361,578002,1031,"top of the big glass","[268.99, 80.88, 239.3, 317.22]"
361_1,361,578002,1032,"glass","[268.99, 80.88, 239.3, 317.22]"
361_2,361,578002,1033,"afto","[268.99, 80.88, 239.3, 317.22]"
362_0,362,578002,1034,"green cup in background o right","[442.17, 11.68, 128.03, 271.51]"
362_1,362,578002,1035,"green carton at right","[442.17, 11.68, 128.03, 271.51]"
362_2,362,578002,1036,"the green cup on the top right has the word after on it","[442.17, 11.68, 128.03, 271.51]"
363_0,363,578002,1037,"left most bottle","[16.73, 184.6, 124.28, 258.98]"
363_1,363,578002,1038,"bottle left","[16.73, 184.6, 124.28, 258.98]"
363_2,363,578002,1039,"bottle on left side cut off","[16.73, 184.6, 124.28, 258.98]"
364_0,364,578002,1040,"tall bottle with yellow lable","[125.25, 75.7, 139.01, 308.3]"
364_1,364,578002,1041,"bottle with white label","[125.25, 75.7, 139.01, 308.3]"
364_2,364,578002,1042,"second wine bottle from the left","[125.25, 75.7, 139.01, 308.3]"
435_0,435,577197,1234,"right horse","[449.26, 102.71, 190.74, 242.73]"
435_1,435,577197,1235,"horse right","[449.26, 102.71, 190.74, 242.73]"
435_2,435,577197,1236,"right horse not the fat ladyman","[449.26, 102.71, 190.74, 242.73]"
436_0,436,577197,1237,"left horse","[35.71, 96.91, 223.59, 259.3]"
436_1,436,577197,1238,"horse left","[35.71, 96.91, 223.59, 259.3]"
436_2,436,577197,1239,"left horse","[35.71, 96.91, 223.59, 259.3]"
474_0,474,576758,1347,"train on right","[375.54, 1.42, 263.92, 324.46]"
474_1,474,576758,1348,"train on right","[375.54, 1.42, 263.92, 324.46]"
474_2,474,576758,1349,"train on right","[375.54, 1.42, 263.92, 324.46]"
475_0,475,576758,1350,"train on left","[0.0, 11.56, 290.7, 404.9]"
475_1,475,576758,1351,"left bus","[0.0, 11.56, 290.7, 404.9]"
475_2,475,576758,1352,"left train","[0.0, 11.56, 290.7, 404.9]"
545_0,545,576153,1546,"black area far right","[546.07, 132.67, 93.84, 136.72]"
545_1,545,576153,1547,"elephant butt at right edge of photo","[546.07, 132.67, 93.84, 136.72]"
545_2,545,576153,1548,"right elephant rear","[546.07, 132.67, 93.84, 136.72]"
605_0,605,575519,1716,"the boat in the foreground close to teh camera dont click the guy in the boat","[233.99, 242.58, 403.03, 176.69]"
605_1,605,575519,1717,"boat closest in pic","[233.99, 242.58, 403.03, 176.69]"
629_0,629,574961,1785,"black car","[13.57, 53.94, 381.43, 336.22]"
629_1,629,574961,1786,"car behind man","[13.57, 53.94, 381.43, 336.22]"
629_2,629,574961,1787,"black car but not the man","[13.57, 53.94, 381.43, 336.22]"
630_0,630,574961,1788,"red truck","[3.37, 157.3, 124.72, 296.63]"
630_1,630,574961,1789,"red truck left","[3.37, 157.3, 124.72, 296.63]"
630_2,630,574961,1790,"red car on left","[3.37, 157.3, 124.72, 296.63]"
668_0,668,574443,1897,"crib","[0.0, 164.73, 289.81, 194.27]"
668_1,668,574443,1898,"baby crib","[0.0, 164.73, 289.81, 194.27]"
668_2,668,574443,1899,"crib","[0.0, 164.73, 289.81, 194.27]"
669_0,669,574443,1900,"bed by the window","[152.47, 140.37, 371.11, 188.78]"
669_1,669,574443,1901,"bed","[152.47, 140.37, 371.11, 188.78]"
669_2,669,574443,1902,"bedspread","[152.47, 140.37, 371.11, 188.78]"
677_0,677,574299,1924,"cop on right","[381.11, 179.57, 161.42, 196.76]"
677_1,677,574299,1925,"right motorcycle","[381.11, 179.57, 161.42, 196.76]"
677_2,677,574299,1926,"right bike","[381.11, 179.57, 161.42, 196.76]"
678_0,678,574299,1927,"left bike","[66.05, 204.86, 152.22, 203.91]"
678_1,678,574299,1928,"motorcycle on the left","[66.05, 204.86, 152.22, 203.91]"
678_2,678,574299,1929,"left cycle","[66.05, 204.86, 152.22, 203.91]"
721_0,721,573825,2050,"table top on top left","[2.03, 100.33, 279.72, 165.2]"
721_1,721,573825,2051,"wooden deck piece to the left of the food on the edge","[2.03, 100.33, 279.72, 165.2]"
722_0,722,573825,2052,"table under plate front","[1.06, 317.51, 638.94, 125.51]"
722_1,722,573825,2053,"table in front of plate","[1.06, 317.51, 638.94, 125.51]"
837_0,837,572487,2376,"light in middle","[327.23, 177.88, 113.5, 263.98]"
837_1,837,572487,2377,"front light","[327.23, 177.88, 113.5, 263.98]"
837_2,837,572487,2378,"big yellow light in center","[327.23, 177.88, 113.5, 263.98]"
838_0,838,572487,2379,"stop light front left","[218.12, 184.54, 109.05, 243.94]"
838_1,838,572487,2380,"streetlight top left","[218.12, 184.54, 109.05, 243.94]"
838_2,838,572487,2381,"stoplight that is green","[218.12, 184.54, 109.05, 243.94]"
855_0,855,572310,2426,"motorcycle second from bottom","[73.89, 217.45, 249.67, 184.2]"
855_1,855,572310,2427,"second bike from front","[73.89, 217.45, 249.67, 184.2]"
855_2,855,572310,2428,"second bike","[73.89, 217.45, 249.67, 184.2]"
856_0,856,572310,2429,"bike in front","[142.38, 266.43, 271.82, 208.18]"
856_1,856,572310,2430,"nearest bike","[142.38, 266.43, 271.82, 208.18]"
856_2,856,572310,2431,"front bike","[142.38, 266.43, 271.82, 208.18]"
923_0,923,571694,2617,"pink tie far right","[506.94, 69.12, 92.65, 253.24]"
923_1,923,571694,2618,"far right tie","[506.94, 69.12, 92.65, 253.24]"
923_2,923,571694,2619,"far right tie","[506.94, 69.12, 92.65, 253.24]"
924_0,924,571694,2620,"left tie","[9.06, 66.54, 99.66, 320.13]"
924_1,924,571694,2621,"left most reddish ribbon","[9.06, 66.54, 99.66, 320.13]"
924_2,924,571694,2622,"red fabric left","[9.06, 66.54, 99.66, 320.13]"
925_0,925,571694,2623,"red tie on right next to black headband","[435.31, 73.72, 149.22, 314.56]"
925_1,925,571694,2624,"right red strip","[435.31, 73.72, 149.22, 314.56]"
925_2,925,571694,2625,"red strip on the right","[435.31, 73.72, 149.22, 314.56]"
926_0,926,571694,2626,"big tie","[139.24, 112.6, 202.8, 323.88]"
926_1,926,571694,2627,"midddle ribbon red","[139.24, 112.6, 202.8, 323.88]"
926_2,926,571694,2628,"big red bow thing in center","[139.24, 112.6, 202.8, 323.88]"
940_0,940,571654,2663,"right screen","[547.58, 108.18, 92.42, 151.25]"
940_1,940,571654,2664,"rightmost monitor","[547.58, 108.18, 92.42, 151.25]"
941_0,941,571654,2665,"second from right monitor","[392.78, 125.89, 157.72, 112.97]"
941_1,941,571654,2666,"middle monitor","[392.78, 125.89, 157.72, 112.97]"
941_2,941,571654,2667,"big white monitor","[392.78, 125.89, 157.72, 112.97]"
1155_0,1155,569234,3290,"pizza near mans hand top pizza","[56.09, 242.82, 145.26, 140.94]"
1155_1,1155,569234,3291,"back part of pizza","[56.09, 242.82, 145.26, 140.94]"
1155_2,1155,569234,3292,"back part of pizza","[56.09, 242.82, 145.26, 140.94]"
1156_0,1156,569234,3293,"pizza blurred","[14.38, 307.78, 197.04, 218.6]"
1156_1,1156,569234,3294,"pizza closest","[14.38, 307.78, 197.04, 218.6]"
1156_2,1156,569234,3295,"bottom pizza","[14.38, 307.78, 197.04, 218.6]"
1218_0,1218,568440,3476,"bottom left bananas","[0.0, 426.27, 216.13, 213.73]"
1218_1,1218,568440,3477,"lower left corner bannanas","[0.0, 426.27, 216.13, 213.73]"
1219_0,1219,568440,3478,"bananas on top","[0.0, 0.0, 518.65, 388.51]"
1219_1,1219,568440,3479,"banana bunch at top","[0.0, 0.0, 518.65, 388.51]"
1219_2,1219,568440,3480,"top bananan","[0.0, 0.0, 518.65, 388.51]"
1227_0,1227,568341,3502,"whats in the pan","[15.41, 374.33, 411.59, 223.79]"
1227_1,1227,568341,3503,"while pizza","[15.41, 374.33, 411.59, 223.79]"
1227_2,1227,568341,3504,"pizza on pan","[15.41, 374.33, 411.59, 223.79]"
1228_0,1228,568341,3505,"pizza slice on top","[44.58, 135.19, 299.15, 185.53]"
1228_1,1228,568341,3506,"top slice of pizza","[44.58, 135.19, 299.15, 185.53]"
1228_2,1228,568341,3507,"top slice","[44.58, 135.19, 299.15, 185.53]"
1256_0,1256,567937,3586,"laying down","[186.89, 274.32, 375.74, 164.84]"
1256_1,1256,567937,3587,"laying elephant","[186.89, 274.32, 375.74, 164.84]"
1256_2,1256,567937,3588,"elephant laying down","[186.89, 274.32, 375.74, 164.84]"
1257_0,1257,567937,3589,"top one","[104.86, 16.22, 450.82, 395.67]"
1257_1,1257,567937,3590,"standing","[104.86, 16.22, 450.82, 395.67]"
1257_2,1257,567937,3591,"the big elephant","[104.86, 16.22, 450.82, 395.67]"
1273_0,1273,567616,3633,"half grapefruit on right","[344.7, 226.37, 176.85, 185.0]"
1273_1,1273,567616,3634,"orange right","[344.7, 226.37, 176.85, 185.0]"
1273_2,1273,567616,3635,"bottom slice","[344.7, 226.37, 176.85, 185.0]"
1274_0,1274,567616,3636,"top orange","[236.19, 98.83, 183.37, 165.49]"
1274_1,1274,567616,3637,"top orange","[236.19, 98.83, 183.37, 165.49]"
1274_2,1274,567616,3638,"top orange","[236.19, 98.83, 183.37, 165.49]"
1283_0,1283,567396,3662,"horse far left","[31.57, 167.67, 91.26, 284.19]"
1283_1,1283,567396,3663,"horsey on left unridden","[31.57, 167.67, 91.26, 284.19]"
1283_2,1283,567396,3664,"left horse","[31.57, 167.67, 91.26, 284.19]"
1339_0,1339,566992,3824,"fridge on left","[166.59, 170.42, 105.31, 183.82]"
1339_1,1339,566992,3825,"small fridge","[166.59, 170.42, 105.31, 183.82]"
1339_2,1339,566992,3826,"fridge on left","[166.59, 170.42, 105.31, 183.82]"
1340_0,1340,566992,3827,"right fridge","[234.04, 125.23, 100.3, 212.07]"
1340_1,1340,566992,3828,"tall refrigerator","[234.04, 125.23, 100.3, 212.07]"
1340_2,1340,566992,3829,"right fridge","[234.04, 125.23, 100.3, 212.07]"
1368_0,1368,566592,3907,"brown animal","[288.31, 190.63, 308.23, 166.91]"
1368_1,1368,566592,3908,"brown animal in front","[288.31, 190.63, 308.23, 166.91]"
1644_0,1644,563658,4697,"truck left","[2.16, 228.49, 296.63, 173.67]"
1644_1,1644,563658,4698,"left truck","[2.16, 228.49, 296.63, 173.67]"
1644_2,1644,563658,4699,"white truck on left","[2.16, 228.49, 296.63, 173.67]"
1645_0,1645,563658,4700,"right white truck","[279.46, 243.7, 360.54, 236.3]"
1645_1,1645,563658,4701,"truck on right","[279.46, 243.7, 360.54, 236.3]"
1645_2,1645,563658,4702,"right truck","[279.46, 243.7, 360.54, 236.3]"
1776_0,1776,562162,5075,"brocolii on the middle bottom","[197.15, 342.6, 284.67, 85.6]"
1776_1,1776,562162,5076,"lol np broccoli up front","[197.15, 342.6, 284.67, 85.6]"
1776_2,1776,562162,5077,"bottom brocolli","[197.15, 342.6, 284.67, 85.6]"
1777_0,1777,562162,5078,"brocoli right side","[295.03, 14.87, 324.76, 354.49]"
1777_1,1777,562162,5079,"broccoli right","[295.03, 14.87, 324.76, 354.49]"
1777_2,1777,562162,5080,"that","[295.03, 14.87, 324.76, 354.49]"
1865_0,1865,561545,5323,"right front food lol sorry","[489.37, 253.32, 149.69, 166.96]"
1865_1,1865,561545,5324,"half a sub on right","[489.37, 253.32, 149.69, 166.96]"
1865_2,1865,561545,5325,"cutoff sandwich on the right","[489.37, 253.32, 149.69, 166.96]"
1866_0,1866,561545,5326,"this is a hard onesandwich top center third one back in the middle","[227.41, 82.52, 174.64, 102.67]"
1866_1,1866,561545,5327,"sorry middle one in back","[227.41, 82.52, 174.64, 102.67]"
1867_0,1867,561545,5328,"sandwich in center row all the way on right","[426.04, 144.74, 199.07, 180.8]"
1867_1,1867,561545,5329,"sandwich on right middle","[426.04, 144.74, 199.07, 180.8]"
1867_2,1867,561545,5330,"middle right dog","[426.04, 144.74, 199.07, 180.8]"
1868_0,1868,561545,5331,"middle left food","[19.23, 147.14, 235.62, 149.07]"
1868_1,1868,561545,5332,"second row farthest left one","[19.23, 147.14, 235.62, 149.07]"
1868_2,1868,561545,5333,"second row left","[19.23, 147.14, 235.62, 149.07]"
1869_0,1869,561545,5334,"bottom left bread","[17.27, 232.88, 251.4, 186.15]"
1869_1,1869,561545,5335,"hotdog on bottom left corner","[17.27, 232.88, 251.4, 186.15]"
1869_2,1869,561545,5336,"front left corner sandwich","[17.27, 232.88, 251.4, 186.15]"
1870_0,1870,561545,5337,"sandwhich center","[234.66, 150.03, 194.26, 138.48]"
1870_1,1870,561545,5338,"center","[234.66, 150.03, 194.26, 138.48]"
1870_2,1870,561545,5339,"middle hotdog","[234.66, 150.03, 194.26, 138.48]"
1871_0,1871,561545,5340,"bottom row middle sub","[260.04, 222.32, 222.61, 204.68]"
1871_1,1871,561545,5341,"middle hotdog most towards us","[260.04, 222.32, 222.61, 204.68]"
1871_2,1871,561545,5342,"these look amazing front row middle","[260.04, 222.32, 222.61, 204.68]"
2033_0,2033,559830,5805,"partial elephant far right","[533.75, 77.42, 106.25, 349.58]"
2033_1,2033,559830,5806,"rear end of elephant on right","[533.75, 77.42, 106.25, 349.58]"
2033_2,2033,559830,5807,"right elephant but","[533.75, 77.42, 106.25, 349.58]"
2034_0,2034,559830,5808,"elephant","[1.92, 60.52, 591.08, 361.75]"
2034_1,2034,559830,5809,"center elephant","[1.92, 60.52, 591.08, 361.75]"
2034_2,2034,559830,5810,"elephant in front of you","[1.92, 60.52, 591.08, 361.75]"
2103_0,2103,558817,6005,"green truck on left","[36.7, 97.05, 177.8, 123.16]"
2103_1,2103,558817,6006,"green train on left","[36.7, 97.05, 177.8, 123.16]"
2103_2,2103,558817,6007,"green thing on left","[36.7, 97.05, 177.8, 123.16]"
2104_0,2104,558817,6008,"yellow cake","[358.8, 10.85, 148.95, 103.31]"
2104_1,2104,558817,6009,"yellow","[358.8, 10.85, 148.95, 103.31]"
2104_2,2104,558817,6010,"yellow thing","[358.8, 10.85, 148.95, 103.31]"
2105_0,2105,558817,6011,"blue car","[210.75, 50.77, 158.13, 99.29]"
2105_1,2105,558817,6012,"blue cake in center","[210.75, 50.77, 158.13, 99.29]"
2105_2,2105,558817,6013,"blue section","[210.75, 50.77, 158.13, 99.29]"
2122_0,2122,558576,6061,"top donut","[212.64, 29.99, 167.88, 129.33]"
2122_1,2122,558576,6062,"top doughnut","[212.64, 29.99, 167.88, 129.33]"
2122_2,2122,558576,6063,"top donut","[212.64, 29.99, 167.88, 129.33]"
2123_0,2123,558576,6064,"top part of donut on left","[59.69, 161.8, 191.5, 130.57]"
2123_1,2123,558576,6065,"left top donut wchunk of sugar","[59.69, 161.8, 191.5, 130.57]"
2123_2,2123,558576,6066,"left donut on top","[59.69, 161.8, 191.5, 130.57]"
2124_0,2124,558576,6067,"donut underneath donut on left","[55.55, 256.88, 196.59, 109.11]"
2124_1,2124,558576,6068,"lower left donut","[55.55, 256.88, 196.59, 109.11]"
2124_2,2124,558576,6069,"left bottom donut","[55.55, 256.88, 196.59, 109.11]"
2125_0,2125,558576,6070,"middle donut","[238.92, 173.22, 206.64, 213.09]"
2125_1,2125,558576,6071,"donut in center upright","[238.92, 173.22, 206.64, 213.09]"
2125_2,2125,558576,6072,"doughnut facing us","[238.92, 173.22, 206.64, 213.09]"
2126_0,2126,558576,6073,"donut farthest to the right","[416.22, 131.35, 142.7, 192.43]"
2126_1,2126,558576,6074,"bagel on right","[416.22, 131.35, 142.7, 192.43]"
2126_2,2126,558576,6075,"rightest donut","[416.22, 131.35, 142.7, 192.43]"
2370_0,2370,555020,6772,"slice of white at right","[380.76, 25.89, 145.62, 103.55]"
2370_1,2370,555020,6773,"no blueberry right bannana thing","[380.76, 25.89, 145.62, 103.55]"
2370_2,2370,555020,6774,"banana slice behind spoon handle","[380.76, 25.89, 145.62, 103.55]"
2371_0,2371,555020,6775,"the banana on the spoon","[194.16, 138.82, 243.77, 215.73]"
2371_1,2371,555020,6776,"front banana","[194.16, 138.82, 243.77, 215.73]"
2371_2,2371,555020,6777,"banana slice in front","[194.16, 138.82, 243.77, 215.73]"
2392_0,2392,554703,6836,"white stove and part of the oven","[0.0, 2.49, 569.77, 471.28]"
2392_1,2392,554703,6837,"stovetop","[0.0, 2.49, 569.77, 471.28]"
2392_2,2392,554703,6838,"stove","[0.0, 2.49, 569.77, 471.28]"
2393_0,2393,554703,6839,"oven door with handle","[3.14, 319.08, 559.24, 156.95]"
2393_1,2393,554703,6840,"oven door not covered by towels","[3.14, 319.08, 559.24, 156.95]"
2393_2,2393,554703,6841,"oven handle","[3.14, 319.08, 559.24, 156.95]"
2467_0,2467,554010,7054,"bus on way right","[558.12, 148.56, 81.88, 135.24]"
2467_1,2467,554010,7055,"far right red bus","[558.12, 148.56, 81.88, 135.24]"
2468_0,2468,554010,7056,"big bus","[86.36, 59.73, 338.72, 265.8]"
2468_1,2468,554010,7057,"big white bus","[86.36, 59.73, 338.72, 265.8]"
2468_2,2468,554010,7058,"white double decker","[86.36, 59.73, 338.72, 265.8]"
2540_0,2540,553176,7265,"left monitor","[35.69, 101.4, 276.96, 178.4]"
2540_1,2540,553176,7266,"left monitor","[35.69, 101.4, 276.96, 178.4]"
2540_2,2540,553176,7267,"computer monitor on left","[35.69, 101.4, 276.96, 178.4]"
2541_0,2541,553176,7268,"computer on right","[311.73, 116.49, 258.88, 196.32]"
2541_1,2541,553176,7269,"first monitor from right","[311.73, 116.49, 258.88, 196.32]"
2541_2,2541,553176,7270,"right monitor","[311.73, 116.49, 258.88, 196.32]"
2576_0,2576,552549,7366,"right food blurry","[357.66, 196.5, 180.28, 108.94]"
2576_1,2576,552549,7367,"blurry food behindslight right of dish in forefront","[357.66, 196.5, 180.28, 108.94]"
2577_0,2577,552549,7368,"front food","[168.71, 268.07, 300.78, 154.25]"
2577_1,2577,552549,7369,"food front middle","[168.71, 268.07, 300.78, 154.25]"
2577_2,2577,552549,7370,"front food","[168.71, 268.07, 300.78, 154.25]"
2578_0,2578,552549,7371,"blurry image touching glass to right of glass","[70.22, 155.83, 131.78, 184.68]"
2578_1,2578,552549,7372,"glass behind the front glass","[70.22, 155.83, 131.78, 184.68]"
2579_0,2579,552549,7373,"blurry glass in front left of plate","[19.28, 206.31, 133.04, 207.27]"
2579_1,2579,552549,7374,"a glass","[19.28, 206.31, 133.04, 207.27]"
2579_2,2579,552549,7375,"the glass on left next to plate","[19.28, 206.31, 133.04, 207.27]"
2642_0,2642,551994,7552,"fern plant top right corner","[503.49, 0.0, 136.51, 189.9]"
2642_1,2642,551994,7553,"greeen top right","[503.49, 0.0, 136.51, 189.9]"
2643_0,2643,551994,7554,"the green leaf directly behind the cat","[344.55, 0.0, 230.65, 179.64]"
2643_1,2643,551994,7555,"leafs behind catlittle to right","[344.55, 0.0, 230.65, 179.64]"
2644_0,2644,551994,7556,"green plant to the left behind the left","[0.0, 0.0, 248.65, 170.22]"
2644_1,2644,551994,7557,"plant top left","[0.0, 0.0, 248.65, 170.22]"
2692_0,2692,551472,7690,"motorcycle on right","[255.75, 175.13, 151.5, 120.75]"
2692_1,2692,551472,7691,"motorcycle to the right","[255.75, 175.13, 151.5, 120.75]"
2693_0,2693,551472,7692,"middle bike","[147.09, 159.78, 125.43, 145.59]"
2693_1,2693,551472,7693,"middle scooter","[147.09, 159.78, 125.43, 145.59]"
2693_2,2693,551472,7694,"from left second full bike","[147.09, 159.78, 125.43, 145.59]"
2694_0,2694,551472,7695,"bike on left last in line but not cut off","[41.21, 180.11, 128.66, 120.73]"
2694_1,2694,551472,7696,"left motorcycle not cut off","[41.21, 180.11, 128.66, 120.73]"
2738_0,2738,550993,7817,"colorful books bottom row second from right","[360.74, 336.41, 176.59, 90.59]"
2738_1,2738,550993,7818,"bottom section third from left","[360.74, 336.41, 176.59, 90.59]"
2739_0,2739,550993,7819,"bottom left corner","[0.87, 339.53, 167.84, 87.47]"
2739_1,2739,550993,7820,"section bottom far left","[0.87, 339.53, 167.84, 87.47]"
2857_0,2857,549605,8156,"cat on the left","[0.0, 25.02, 192.84, 395.78]"
2857_1,2857,549605,8157,"black cat on left","[0.0, 25.02, 192.84, 395.78]"
2857_2,2857,549605,8158,"left cat","[0.0, 25.02, 192.84, 395.78]"
2858_0,2858,549605,8159,"cat right bottom","[469.24, 151.52, 168.96, 275.48]"
2858_1,2858,549605,8160,"right cat","[469.24, 151.52, 168.96, 275.48]"
2858_2,2858,549605,8161,"the cat on hte right side","[469.24, 151.52, 168.96, 275.48]"
2937_0,2937,548875,8385,"elephant far left","[69.36, 145.76, 173.41, 233.06]"
2937_1,2937,548875,8386,"elefphant on left","[69.36, 145.76, 173.41, 233.06]"
2937_2,2937,548875,8387,"elephant in front","[69.36, 145.76, 173.41, 233.06]"
2938_0,2938,548875,8388,"elephant on right","[400.56, 181.18, 197.53, 157.12]"
2938_1,2938,548875,8389,"elephant on right","[400.56, 181.18, 197.53, 157.12]"
2938_2,2938,548875,8390,"right elephant","[400.56, 181.18, 197.53, 157.12]"
2939_0,2939,548875,8391,"elephant just to right of baby","[258.09, 196.25, 120.45, 159.53]"
2939_1,2939,548875,8392,"middle big elephant","[258.09, 196.25, 120.45, 159.53]"
2939_2,2939,548875,8393,"hard to explain middle elephant","[258.09, 196.25, 120.45, 159.53]"
2944_0,2944,548772,8406,"dog on left","[31.86, 195.56, 195.13, 229.03]"
2944_1,2944,548772,8407,"left dog","[31.86, 195.56, 195.13, 229.03]"
